Product_ID,Brand,Product_Name,Category,Gender,Price,Discount_Price,Rating,Rating_Count
1001,Zara,Apparel Item 1,Topwear,Unisex,4921,850,4.6,2585
1002,Biba,Apparel Item 2,Bottomwear,Women,4323,6831,3.1,11793
1003,Levis,Apparel Item 3,Dresses,Men,2950,5659,4.5,625
1004,Mango,Apparel Item 4,Footwear,Women,1127,5602,3.8,13380
1005,Zara,Apparel Item 5,Footwear,Unisex,8277,4164,4.7,5954
1006,FabIndia,Apparel Item 6,Footwear,Unisex,4195,2837,4.2,7414
1007,Nike,Apparel Item 7,Dresses,Women,4173,4709,4.6,964
1008,Roadster,Apparel Item 8,Indianwear,Men,4428,1948,3.9,10635
1009,Levis,Apparel Item 9,Indianwear,Women,3264,6757,4.0,1639
1010,Biba,Apparel Item 10,Bottomwear,Men,4868,3873,3.3,10983
1011,HRX,Apparel Item 11,Indianwear,Women,8806,526,4.5,6869
1012,Levis,Apparel Item 12,Indianwear,Unisex,5455,6340,3.8,8851
1013,W,Apparel Item 13,Footwear,Men,1191,5254,4.0,10549
1014,Biba,Apparel Item 14,Footwear,Men,3661,6946,4.5,12692
1015,Nike,Apparel Item 15,Bottomwear,Men,1604,6310,4.1,3288
1016,W,Apparel Item 16,Topwear,Unisex,3507,6880,3.4,5465
1017,Levis,Apparel Item 17,Bottomwear,Women,2660,3160,4.1,10842
1018,Roadster,Apparel Item 18,Bottomwear,Unisex,8844,4855,3.8,3811
1019,Roadster,Apparel Item 19,Dresses,Men,4198,5063,3.9,2571
1020,Nike,Apparel Item 20,Dresses,Women,4285,1814,3.1,11451
1021,Puma,Apparel Item 21,Bottomwear,Unisex,4699,6760,3.4,6549
1022,Mango,Apparel Item 22,Bottomwear,Men,2412,6092,3.5,380
1023,HRX,Apparel Item 23,Bottomwear,Men,6019,6187,4.4,867
1024,Puma,Apparel Item 24,Indianwear,Unisex,2271,600,3.0,4896
1025,Roadster,Apparel Item 25,Dresses,Unisex,3279,6559,3.8,12955
1026,Roadster,Apparel Item 26,Bottomwear,Unisex,7922,2768,4.8,7495
1027,FabIndia,Apparel Item 27,Footwear,Men,3370,916,3.2,13690
1028,W,Apparel Item 28,Footwear,Unisex,1159,5843,4.0,393
1029,Levis,Apparel Item 29,Indianwear,Men,6741,5930,4.5,14407
1030,HRX,Apparel Item 30,Indianwear,Unisex,1631,1740,4.8,12079
